AMP ID,Project Title,Status,Donor,District,City
8723811263,TA:Preparing the Integrated Urban Development Project, ,Asian Development Bank,Banke,Nepalgunj
8723811263,TA:Preparing the Integrated Urban Development Project, ,Asian Development Bank,Dhanusa,Janakpur
8723811263,TA:Preparing the Integrated Urban Development Project, ,Asian Development Bank,Rupandehi,Bhairahawa
8723811263,TA:Preparing the Integrated Urban Development Project, ,Asian Development Bank,Sunsari,Inaruwa
8723892516,Youth Empowerment through Practical Peace Education,Completed,Japan International Cooperation Agency,Dholkha,Charikot
8723892516,Youth Empowerment through Practical Peace Education,Completed,Japan International Cooperation Agency,Kaski,Pokhara
8723892516,Youth Empowerment through Practical Peace Education,Completed,Japan International Cooperation Agency,Kavrepalanchok,Dhulikhel
8723892516,Youth Empowerment through Practical Peace Education,Completed,Japan International Cooperation Agency,Ramechhap,Manthali
8723892516,Youth Empowerment through Practical Peace Education,Completed,Japan International Cooperation Agency,Sindhuli,Sindhuli Madhi
8723892516,Youth Empowerment through Practical Peace Education,Completed,Japan International Cooperation Agency,Sindhupalchok,Chautara
87238113685,Sustainable WASH in the Koshi Affected Resettled Community,Completed,United Nations Human Settlements Programme,Sunsari,Inaruwa
8.72381E+11,UNICEF country programme July to December 2010,,,,
87238113496,Integrated Shelter Assistance for 225 Landless Households Affected by Koshi Flood,Completed,United Nations Human Settlements Programme,Sunsari,Inaruwa
87238113470,WASH Lifesaving Support Project- Preventing deaths of vulnerable population (children and women) through lifesaving WASH promotion and response (CERF Nepal Project),Completed,United Nations Human Settlements Programme,Doti,Dipayal
87238113470,WASH Lifesaving Support Project- Preventing deaths of vulnerable population (children and women) through lifesaving WASH promotion and response (CERF Nepal Project),Completed,United Nations Human Settlements Programme,Kailali,Dhangadhi
87238113470,WASH Lifesaving Support Project- Preventing deaths of vulnerable population (children and women) through lifesaving WASH promotion and response (CERF Nepal Project),Completed,United Nations Human Settlements Programme,Kanchanpur,Mahendara Nagar
8.72381E+11,Acquisition of 3 Turbo-Prop(MA 60)and 5 STOL(Y12E)Aircraft from AVIC International Holding Corporationof China to Nepal Airlines Corporation.,,,,
87238113471,Lifesaving Initiatives for Flood Affected People in 10 Village Development Committees of Kanchanpur District (CERF Nepal Project),Completed,United Nations Human Settlements Programme,Kanchanpur,Mahendara Nagar
87238113483,Dissemination of Nepal National Water Plan and Water for Asian Cities Program through Media in Nepal,Completed,United Nations Human Settlements Programme,Lalitpur,Patan
87238107706,Support to Mitigate the Negative Effects of High Food Prices on Local Rural Populations in Ten Districts,Completed,Food and Agriculture Organization,Baitadi,Baitadi
87238107706,Support to Mitigate the Negative Effects of High Food Prices on Local Rural Populations in Ten Districts,Completed,Food and Agriculture Organization,Bajhang,Chainpur
87238107706,Support to Mitigate the Negative Effects of High Food Prices on Local Rural Populations in Ten Districts,Completed,Food and Agriculture Organization,Darchula,Darchula
87238107706,Support to Mitigate the Negative Effects of High Food Prices on Local Rural Populations in Ten Districts,Completed,Food and Agriculture Organization,Dolpa,Dolpa
87238107706,Support to Mitigate the Negative Effects of High Food Prices on Local Rural Populations in Ten Districts,Completed,Food and Agriculture Organization,Doti,Dipayal
87238107706,Support to Mitigate the Negative Effects of High Food Prices on Local Rural Populations in Ten Districts,Completed,Food and Agriculture Organization,Jumla,Jumla Khalanga
87238107706,Support to Mitigate the Negative Effects of High Food Prices on Local Rural Populations in Ten Districts,Completed,Food and Agriculture Organization,Kailali,Dhangadhi
87238107706,Support to Mitigate the Negative Effects of High Food Prices on Local Rural Populations in Ten Districts,Completed,Food and Agriculture Organization,Kalikot,Kalikot
87238107706,Support to Mitigate the Negative Effects of High Food Prices on Local Rural Populations in Ten Districts,Completed,Food and Agriculture Organization,Sindhuli,Sindhuli Madhi
87238107706,Support to Mitigate the Negative Effects of High Food Prices on Local Rural Populations in Ten Districts,Completed,Food and Agriculture Organization,Udayapur,Gaighat
8723892402,Promotion of Quality Cocoon Production and Processing Project,Completed,Japan International Cooperation Agency,Dhading,Dhading Besi
8723892513,Technical support and dissemination of alternative fuel firewood and oil,Completed,Japan International Cooperation Agency,Kathmandu,Kathmandu
8723892513,Technical support and dissemination of alternative fuel firewood and oil,Completed,Japan International Cooperation Agency,Khotang,Diktel
8723892529,Promoting Quality Eduction through Community Based School Management,Completed,Japan International Cooperation Agency,Dhanusa,Janakpur
8723892529,Promoting Quality Eduction through Community Based School Management,Completed,Japan International Cooperation Agency,Mahottari,Jaleswor
87238113473,"Capacity Building of Water and Sanitation UserÕs Committee (WSUC) for Pro Poor Service Delivery in Selected Five Small Towns and Development of Management Information System for all Towns: Tulsipur, Birendranagar, Kohalpur, Attariya and Mahendranagar.",Completed,United Nations Human Settlements Programme,Banke,Nepalgunj
87238113473,"Capacity Building of Water and Sanitation UserÕs Committee (WSUC) for Pro Poor Service Delivery in Selected Five Small Towns and Development of Management Information System for all Towns: Tulsipur, Birendranagar, Kohalpur, Attariya and Mahendranagar.",Completed,United Nations Human Settlements Programme,Dang Deukhuri,Ghorahi
87238113473,"Capacity Building of Water and Sanitation UserÕs Committee (WSUC) for Pro Poor Service Delivery in Selected Five Small Towns and Development of Management Information System for all Towns: Tulsipur, Birendranagar, Kohalpur, Attariya and Mahendranagar.",Completed,United Nations Human Settlements Programme,Kailali,Dhangadhi
87238113473,"Capacity Building of Water and Sanitation UserÕs Committee (WSUC) for Pro Poor Service Delivery in Selected Five Small Towns and Development of Management Information System for all Towns: Tulsipur, Birendranagar, Kohalpur, Attariya and Mahendranagar.",Completed,United Nations Human Settlements Programme,Kanchanpur,Mahendara Nagar
87238113473,"Capacity Building of Water and Sanitation UserÕs Committee (WSUC) for Pro Poor Service Delivery in Selected Five Small Towns and Development of Management Information System for all Towns: Tulsipur, Birendranagar, Kohalpur, Attariya and Mahendranagar.",Completed,United Nations Human Settlements Programme,Surkhet,Surkhet
87238113681,"Demonstration of Community Rain Water Recharge Techniques in Patan, Nepal",Completed,United Nations Human Settlements Programme,Lalitpur,Patan
87238113684,Integrating Water and Sanitation Services to Urban Poor Communities in two Municipalities of Nepal,Completed,United Nations Human Settlements Programme,Sindhuli,Sindhuli Madhi
87238113684,Integrating Water and Sanitation Services to Urban Poor Communities in two Municipalities of Nepal,Completed,United Nations Human Settlements Programme,Sunsari,Inaruwa
8.72381E+11,TA 8173-NEP: Strengthening Public Management Capacity,,,,
8.72381E+11,"TFD-10/NEP/003: Improving nutritional status of children by demonstrating kitchen garden model in schools and its vicinity, Palpa",On-Going,Food and Agriculture Organization,Rupandehi,Bhairahawa
87238111554,51-11444001-KAT (Education) Improving literacy for sustainable development with particular focus on women and disadvantaged groups within the framework of LIFE,,,,
87238111555,51-12400015-KAT (Education) Support Nat effort for assessing secondary education policy in light of School Sector Reform Prog (SSRP),,,,
8723892512,"Village Development for Kavrepalanchok, Sindhupalchok and Makawanpur districts",Completed,Japan International Cooperation Agency,Kavrepalanchok,Dhulikhel
8723892512,"Village Development for Kavrepalanchok, Sindhupalchok and Makawanpur districts",Completed,Japan International Cooperation Agency,Makwanpur,Hetauda
8723892512,"Village Development for Kavrepalanchok, Sindhupalchok and Makawanpur districts",Completed,Japan International Cooperation Agency,Sindhupalchok,Chautara
