AMP ID,Project Title,Input,Outputs,Impact,Outcome,Status,Date of effectiveness,Actual Start Date,Date of Agreement,District,Donor Agency,Secondary Sector Sub-Sector,Secondary Sector Sub-Sub-Sector,Secondary Sector,Primary Sector Sub-Sub-Sector,Primary Sector Sub-Sector,Primary Sector,Total Actual Commitments,Total Actual Disbursements
  8723811263,TA:Preparing the Integrated Urban Development Project,Project is based on Nepal Country Patnesrship Strategy with four pillars:Focus on a small number of Physical management.  Confined ot a few larger municipalities with relatively higher technial and financial capacity to implement the project and creae visible impact  Fully involve stakeholders in project identification and design from an erly stagge and   Provide capacity develpment support before project implementation.,"Reliable,affordable and effective municipal infrastructur  Drainage and swerage systems improved  Urban roads and lanes improved  Solid waste management  Water supply system improved  Community development programs undertaken including health and hygiene  Strengtened capacity of municipalities and the centarl goverment to manage and operate the project  Financial,technical and institutioanl capacity of municipalities strengtehned  GESI Operational guideline implemented at MPPW  GESI related capacity development carried out in project municiaplities","Improved quality of life and hiigher and more socially inclusive economic growth in Dhran,Janakpur,Nepalgunj and Siddharthnagar municipalities","Improved and affordable municipal services deliverered effictively,efficiently and reliably with expanded outstreach and inclusiveness by accountable project municipalities", ,03/01/2011,13/12/2010,13/12/2010," - Banke (Nepalgunj)
 - Dhanusa (Janakpur)
 - Rupandehi (Bhairahawa)
 - Sunsari (Inaruwa)",Asian Development Bank, , , , , , ,800000, 
  8723892516,Youth Empowerment through Practical Peace Education,Main activities are preparing trainers and training manuals for peace eduction and supporting youth self help groups.,1. Peace education tools and manuals. 2. Peace education trainers and peace agents. 3. Youth self help groups.,1. A model of practical peace education institutionalized. 2. Empowering youth for peace-building continued.,1. Peace education practical texts developed and fully utilized. 2. Youth self help group actively developed.,Completed,,01/05/2008,," - Dholkha (Charikot)
 - Kaski (Pokhara)
 - Kavrepalanchok (Dhulikhel)
 - Ramechhap (Manthali)
 - Sindhuli (Sindhuli Madhi)
 - Sindhupalchok (Chautara)",Japan International Cooperation Agency, , ,SOCIAL PROTECTION, , ,PEACE AND RECONSTRUCTION,276673.7,348996.676
  87238113685,Sustainable WASH in the Koshi Affected Resettled Community,Participatory Vulnerability analysis survey;  Facilitating and enabling environment for resettlement through mobilizing community finance;  Encouraging good governance;  Capacity building;  Health and hygiene education and awareness campaign;  Water and environmental sanitation.,235 households have access to WASH facilities;  Education and awareness on health and hygiene.,Improved living condition of the resettled families,Open defecation free settlement;  Improved health condition of 235 resettled households.,Completed,17/02/2010,17/02/2010,17/02/2010,Sunsari (Inaruwa),United Nations Human Settlements Programme,Water supply, ,HOUSING AND COMMUNITY AMENITIES, , ,DRINKING WATER,50000,50000
  872381001040,UNICEF country programme July to December 2010, , , , ,Completed,,,01/07/2010, ,United Nations Children's Fund," - Education n.e.c.
 - Family and children
 - General public services n.e.c.
 - Health n.e.c.
 - Water supply", ," - EDUCATION
 - GENERAL PUBLIC SERVICE
 - HEALTH
 - HOUSING AND COMMUNITY AMENITIES
 - SOCIAL PROTECTION", , ," - DRINKING WATER
 - EDUCATION
 - HEALTH
 - LOCAL DEVELOPMENT
 - WOMEN, CHILDREN & SOCIAL WELFARE",12840000,12840000
  87238113496,Integrated Shelter Assistance for 225 Landless Households Affected by Koshi Flood,"Identification of landless victim by Koshi Flood;  Coordination with stakeholders including Nepal Basobas Basti Samrakshan Samaj, UNDP, Government (DDRC) and donor agencies;   Mobilization of community and Conduct various trainings for livelihood improvement. ;  Design of lowcost housing, suitable for local condition;  Construction of 235 lowcost shelters.",Construction of 235 low-cost housing for registered landless families;  Technical training on construction of low-cost housing;   Develop saving schemes among the community.,First of its kind in Nepal to support housing for disaster victims as a Recovery Project and a model for replication;   Secured land tenure and housing rights.,"Improved living condition of targeted families;  Ensured partnership among community, community based organizations and local district government;  Strengthened resilience of community to cope with the disaster in future;   Increased economic self reliance through access and control over financial resources;  Developed organizational capacity of communities to enhance self reliance, build confidence and solidarity.",Completed,07/10/2009,07/10/2009,07/10/2009,Sunsari (Inaruwa),United Nations Human Settlements Programme, , ,HOUSING AND COMMUNITY AMENITIES, , ,HOUSING,191250,191250
  87238113470,WASH Lifesaving Support Project- Preventing deaths of vulnerable population (children and women) through lifesaving WASH promotion and response (CERF Nepal Project),"Social mobilization on repair and maintenance of water and sanitation infrastructures including re-formation water and sanitation users groups (WSUG) under the supervision of WSUG with technical support from WSSDO;   Protection, repair and maintenance of water supply systems that will include intakes/pipes in hilly VDCs, and shallow-tube wells repair or installations of elevated hand pump in Terai VDCs;   Installation of 4 rain water harvesting/ water conversation in public;  Installation of temporary latrines for 80 deprived households;  Social mobilization and awareness campaigns with WASH supply distribution in the Marginalized community of 24 project VDCs to raise community awareness on the health benefits of safe water, good sanitation and hygiene practices;  Water quality testing for the 10 small water supply systems repaired/maintained/protected.","About 12,000 people will be aware on WASH;  Hygiene Supplies distribution to 39,000 households;   Protection, repair and maintenance of water supply systems that will include intakes/pipes in hilly VDCs, and shallow-tube wells repair or installations of elevated hand pump) in Terai VDCs;   At least 10 piped drinking water systems in the hilly VDCs of Doti district will be repaired benefiting about 3,000 people;   Repair and Maintenance of Water Supply Systems;  80 temporary latrines to deprived households to promote good sanitations; around 480 people developed proper sanitation habits;   Four demonstration Rain Water Harvesting Systems;    10 water supply systems with ""Water Quality Testing"" practise on regular basis.", ,"10 damaged small water supply systems repaired/protected/maintained in the VDCs of Doti and Kailali benefiting around 3,000 people directly;  30 hand pumps or latrines in flood prone districts of Kailali and Kanchanpur will be repaired/maintained and elevated as appropriate benefiting around 900 people directly;  4 rain water harvesting tanks installed and water conservation practices demonstrated within the community benefiting about 2,000 people;  80 temporary latrines installed benefiting around 480 deprived populations;  WASH knowledge, attitude and hygiene practices of the communities in 24 VDCs improved through social mobilization campaign benefiting around 39,000 households (238,000 people) directly or indirectly;  Safe water practice demonstrated for the 10 small water supply systems that have been repaired/protected or maintained.",Completed,01/02/2011,01/02/2011,01/02/2011," - Doti (Dipayal)
 - Kailali (Dhangadhi)
 - Kanchanpur (Mahendara Nagar)",United Nations Human Settlements Programme,Water supply, ,HOUSING AND COMMUNITY AMENITIES, , ,DRINKING WATER,62915,62915
  872381431697,Acquisition of 3 Turbo-Prop(MA 60)and 5 STOL(Y12E)Aircraft from AVIC International Holding Corporationof China to Nepal Airlines Corporation.,, , , ,pipeline,,,, ,China,Transport, ,ECONOMIC AFFAIRS, , ,AIR TRANSPORTATION, , 
  87238113471,Lifesaving Initiatives for Flood Affected People in 10 Village Development Committees of Kanchanpur District (CERF Nepal Project),Social mobilization for improved hygiene practices;     Repair of 5 small water supply projects/systems;    Hygiene supplies transportation and distribution;    Installation of elevated latrines and HP;    Installation of rain water harvesting/water conservation in public places;    Installation of temporary latrines for deprived households;    Water quality testing and disinfection.,Capacity building of FCHVs and other volunteers including Sphere training to Government Line agencies; Live saving education campaign; Personal hygiene promotion;     Hygiene Supplies distributed to beneficiaries;    5 Small Water Supply Schemes repaired;     10 Elevated Hand pumps and/or 10 Elevated Latrines constructed;    Three Water Conservation schemes installed at public places;     40 temporary latrines are constructed for deprived households;     Water Quality Testing is conducted for installed water supply systems by the project and disinfection measures taken for microbial contamination.,Reduction in annual record of outbreaks and preparedness mechanism in place in coordination with local stakeholders.,"150 local volunteers (FCHV and other) trained on water, sanitation and hygiene promotions and 40 government line agency officials trained in Sphere    5 small water projects/systems repaired and prepared for emergency period;    10 elevated hand pumps and latrines ready to be utilized during the emergency period;    3 rain water harvesting systems demonstrated in public places and are upscaled by communities and local authorities;    40 temporary latrines installed in deprived households and sensitized the locals on importance of sanitation facilities;    12,250 households received WASH supplies to be utilized during the period of emergency;    Water from repaired water systems tested and assured for drinkability (disinfected) and practised on regular basis;    200 households practices personnel hygiene practices and reduced the occurances of outbreaks;    147,000 ordinary people aware through education campaigns conducted through local media, volunteers, school systems and the sensitization level increased.",Completed,02/02/2011,02/02/2011,02/02/2011,Kanchanpur (Mahendara Nagar),United Nations Human Settlements Programme,Water supply, ,HOUSING AND COMMUNITY AMENITIES, , ,DRINKING WATER,27121,25810
  87238113483,Dissemination of Nepal National Water Plan and Water for Asian Cities Program through Media in Nepal,National Water Plan dissemination through media;  Media Capacity Building Training;  Radio Programmes;  Stories in Print Media;  Information Education and Communication (IEC) Material;  National and Regional Workshops on NWP.,National Water Plan is disseminated at various levels;  Media personnel are trained on importance of WATSAN.,I Increased in media coverage on WATSAN issue,Media started prioritizing WATSAN as an important issue,Completed,10/02/2010,10/02/2010,10/02/2010,Lalitpur (Patan),United Nations Human Settlements Programme, , ,HEALTH, , ," - DRINKING WATER
 - HEALTH",24000,24000
  87238107706,Support to Mitigate the Negative Effects of High Food Prices on Local Rural Populations in Ten Districts,"Productive saftey nets with the aim of maintaining an improving agrricultural infrastructure in order to raise agricultural productivity  Support to increase staple food availabilty for extremely vulnerable households  Support farmers to adopt improved agriculturral practices through capacity building of the Farmers and the MOAC.  Monitoring system for food secrutiry and disaster risk management  Project implements in 10 distircts Baitadi, Bajhang, Darchula, Doti, Kailali, Sindhuli, Udyapur, Dolpa, Jumla,and Kalikot.","Increased staple food availabitly for extremely vulnerable households,  Increased productivity through building of local capacity   Enhanced monitoring system for food secrurity and disaster management system of MOAC","The food security of 200944 farmining households enhanced,  The effects of soaring food prices mitigated through the provision of improved qaulity seeds of staple crops, cereals, vegitable and pulses","To sustainably mitigate the impact of high food prices on 200944extremely vulnerable farming households in ten districts of Nepal  To increase the food secrurity of 200944 targeted vulnerable and rural housholds of ten districts in Eastern, Central, Mid-Western and Far western regions of Nepal",Completed,01/05/2009,01/05/2009,14/12/2009," - Baitadi (Baitadi)
 - Bajhang (Chainpur)
 - Darchula (Darchula)
 - Dolpa (Dolpa)
 - Doti (Dipayal)
 - Jumla (Jumla Khalanga)
 - Kailali (Dhangadhi)
 - Kalikot (Kalikot)
 - Sindhuli (Sindhuli Madhi)
 - Udayapur (Gaighat)",Food and Agriculture Organization, , ,ECONOMIC AFFAIRS, , ,AGRICULTURE,11813799.62, 
