iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),recipient-country-code,recipient-country,recipient-country-percentage,recipient-region-code,recipient-region,recipient-region-percentage,sector-code,sector,sector-percentage,sector-vocabulary,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code,default-currency,currency,total-Commitment,total-Disbursement,total-Expenditure,total-Incoming Funds,total-Interest Repayment,total-Loan Repayment,total-Reimbursement
US-USG-AID-1-NP-19305,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,"Training for GON Accountants
(Other functions)","Training for GON Accountants
(Other functions)",2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,0,15000,0,0,0,0,0
US-USG-MCC-18-NP-271039-271039,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,Not Applicable,,2,,,2012-11-01,2013-07-30,,,,,,,Millennium Challenge Corporation,US-18,Government,,,,NP,Nepal,,,,,,,,,,110,,,,USD,USD,9295,0,0,0,0,0,0
GB-COH-03788027-CSCF-444,,2014-03-05 00:00:00,en,Triple Line & Crown Agents (Joint Venture),GB-COH-03788027,Private Sector,CSCF Grant,Disbursements to CSCF grantees,2,,,,,,,,Department for International Development,GB-1,Government,Triple Line & Crown Agents (Joint Venture),GB-COH-03788027,Private Sector,,,,NP,Nepal,,,,,,,,,,,,,,GBP,,0,67297,0,67297,0,0,0
DE-1-201073832,1,2014-03-21 00:00:00,de,BMZ,DE-1,Government,"Kampagne gegen Hunger, Armut und Verletzung der Menschenrechte in Südasien",,2,,,2010-12-03,,,,,DE,DE,Government,,,,,,,NP,Nepal,,,,,,,,,3,,,,,EUR,!Mixed currency,251000.00,!Mixed currency,0,0,0,0,0
US-USG-AID-1-NP-76638,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,"1)To provide incremental funding for Strengthen Political Parties, Electroal  and Legislative Processes Program (SPELP)-CEPPS III.

2)Budget realignment for Strengthen Political Parties, Electroal  and Legislative Processes Program (SPELP)-CEPPS III","1)To provide incremental funding for Strengthen Political Parties, Electroal  and Legislative Processes Program (SPELP)-CEPPS III.

2)Budget realignment for Strengthen Political Parties, Electroal  and Legislative Processes Program (SPELP)-CEPPS III",2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,1508000,0,0,0,0,0,0
US-1-2010017971,,,en,United States Government,US,Government,Avian Influenza - Avian Flu,"Limit the spread of avian influenza (AI) in animals and help to prevent a human influenza pandemic, and in the event of a pandemic, provide appropriate humanitarian response. [through GovConnection Inc.]",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Enterprise - United States Unknown,50000,,NP,Nepal,,,,,12250,Infectious disease control,,OECD Development Assistance Committee,,,,,,USD,,0,1824,0,0,0,0,0
SE-6-5403000401-NP-99810,2,2014-03-27 00:00:00,en,Swedish International Development Cooperation Agency,SE-6,Government,Forum Syd Frame 2009,Framework agreement with Forum Syd for 2009 - sub-granting funds to   Swedish NGOs for dev coop South.,4,,,2009-02-01,2011-12-01,,,,Sweden,SE,Government,Swedish International Development Cooperation Agency,SE-6,Government,Donor country-based NGO,22000,National NGO,NP,Nepal,,,,,99810,Sectors not specified,100,OECD Development Assistance Committee,1,110,10,B03,5,USD,,0,191,0,0,0,0,0
US-1-2010011034,,,en,United States Government,US,Government,Administration and Oversight,"Supports the following illustrative program-funded costs: salaries of US, FSN, and TCN and other staff such as PSCs, RSSAs, PASAs, CASUs working for the US Government managing, administering, and supporting programs and their program-funded benefits such as housing, travel, transportation, education allowances etc; institutional contractors that provide such staff, rent, IT services, the program-funded share of utilities, staff training costs and the cost of developing and administering training",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Personal Services Contractors - USAID,50000,,NP,Nepal,,,,,43010,Multisector aid,,OECD Development Assistance Committee,,,,,,USD,,0,22925,0,0,0,0,0
US-USG-MCC-18-NP-304792-304792,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,Not Applicable,,2,,,2013-03-01,2013-07-30,,,,,,,Millennium Challenge Corporation,US-18,Government,,,,NP,Nepal,,,,,,,,,,110,,,,USD,USD,11668,11668,0,0,0,0,0
US-1-2010007703,,,en,United States Government,US,Government,Administration and Oversight,"Supports the following illustrative program-funded costs: salaries of US, FSN, and TCN and other staff such as PSCs, RSSAs, PASAs, CASUs working for the US Government managing, administering, and supporting programs and their program-funded benefits such as housing, travel, transportation, education allowances etc; institutional contractors that provide such staff, rent, IT services, the program-funded share of utilities, staff training costs and the cost of developing and administering training",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,U.S. Government - U.S. Agency for International Development,10000,,NP,Nepal,,,,,43010,Multisector aid,,OECD Development Assistance Committee,,,,,,USD,,0,6886,0,0,0,0,0
US-1-2010036489,,,en,United States Government,US,Government,Maternal and Child Health,"Increase the availability and use of proven life-saving interventions that address the major killers of mothers and children and improve their health and nutrition status, including effective maternity care and management of obstetric complications; prevention services including newborn care, routine immunization, polio eradication, safe water and hygiene, and micronutrients; improved maternal, infant and young child feeding; and treatment of life-threatening childhood illnesses. [through Atlas",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Enterprise - Non United States Unknown,50000,,NP,Nepal,,,,,13020,Reproductive health care,,OECD Development Assistance Committee,,,,,,USD,,0,429,0,0,0,0,0
US-1-2010038555,,,en,United States Government,US,Government,Other Public Health Threats,Address public health threats posed by infectious diseases not targeted elsewhere in the Framework as well as significant non-communicable health threats of major public health importance. [through Personal Service Contractors - USAID],2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Personal Services Contractors - USAID,50000,,NP,Nepal,,,,,12220,Basic health care,,OECD Development Assistance Committee,,,,,,USD,,0,416,0,0,0,0,0
GB-1-200696-101,2,2014-02-01 00:00:00,en,Department for International Development,GB-1,Government,Community Support Programme Phase II Supported Through Care Nepal,,2,2010-04-01,2014-03-31,2010-04-01,2014-03-31,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,20000,,NP,Nepal,,,,,31120;11120;14030;15150,Agricultural development;Education facilities and training;Basic drinking water supply and basic sanitation;Strengthening civil society,20;20;25;35,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,,110,10,C01,5,GBP,!Mixed currency,11825000,9604681,200000,0,0,0,0
46004-43524-014-LN3000,1,2013-09-30 00:00:00,en,Asian Development Bank,46004,Multilateral,KATHMANDU VALLEY WASTEWATER MANAGEMENT PROJECT,"The project will invest in rehabilitation and expansion of sewerage network, modernization and expansion of wastewater treatment plants (WWTPs), and improvement of wastewater management in the Kathmandu Valley that will help reduce pollution of the Bagmati River.  The project will also strengthen the institutions working for wastewater management in the Kathmandu Valley to increase operational efficiency and improve service delivery, and will result in positive impacts on health and quality of life for the residents of Kathmandu Valley.  The project will support the country's peace and development through improved access to basic services. The project will coordinate with other related projects to fulfill the medium term priority investment needs identified in the long term capital investment and asset management program for year wise investments in water supply and wastewater infrastructure.",2,2013-07-03,2019-06-30,,,Ministry of Urban Development,,,Asian Development Bank,46004,Multilateral,,,,,,,NP,Nepal,,,,,,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,2,411,10,C01,5,USD,,80000000,0,0,0,0,0,0
US-1-2010009788,,,en,United States Government,US,Government,Administration and Oversight,"Supports the following illustrative program-funded costs: salaries of US, FSN, and TCN and other staff such as PSCs, RSSAs, PASAs, CASUs working for the US Government managing, administering, and supporting programs and their program-funded benefits such as housing, travel, transportation, education allowances etc; institutional contractors that provide such staff, rent, IT services, the program-funded share of utilities, staff training costs and the cost of developing and administering training",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Personal Services Contractors - USAID,50000,,NP,Nepal,,,,,43010,Multisector aid,,OECD Development Assistance Committee,,,,,,USD,,0,13,0,0,0,0,0
US-1-2009011443,,,en,United States Government,US,Government,Enhance Stability and Security,Enhance Stability and Security [Academy for Educational Development],2,2009-01-01,2009-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Academy for Educational Development,22000,,NP,Nepal,,,,,15210,Security system management and reform,,OECD Development Assistance Committee,,,,,,USD,,0,54613,0,0,0,0,0
DAC-1601-OPP51033,,2014-03-18 00:00:00,en,Bill and Melinda Gates Foundation,DAC-1601,Foundation,International Institute for Environment and Development,to catalyze and strengthen the community development process in twenty countries across Asia,4,2008-11-01,2012-09-30,,,,,,Bill & Melinda Gates Foundation,DAC-1601,Foundation,Bill & Melinda Gates Foundation,DAC-1601,Foundation,,,,VN;TH;PK;PH;NP;MN;MM;LK;LA;KR;KH;IN;ID;FJ,"Viet Nam;Thailand;Pakistan;Philippines;Nepal;Mongolia;Myanmar;Sri Lanka;Lao People'S Democratic Republic;Korea, Republic Of;Cambodia;India;Indonesia;Fiji",;;;;;;;;;;;;;,798,"Asia, regional",,43030,Urban development and management,200,OECD Development Assistance Committee,,,,,,USD,,4000000,8906223,0,0,0,0,0
US-1-2010035711,,,en,United States Government,US,Government,Maternal and Child Health,"Increase the availability and use of proven life-saving interventions that address the major killers of mothers and children and improve their health and nutrition status, including effective maternity care and management of obstetric complications; prevention services including newborn care, routine immunization, polio eradication, safe water and hygiene, and micronutrients; improved maternal, infant and young child feeding; and treatment of life-threatening childhood illnesses. [through United",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,United Nations Children's Fund,41122,,NP,Nepal,,,,,13020,Reproductive health care,,OECD Development Assistance Committee,,,,,,USD,USD,750000,0,0,0,0,0,0
DE-1-201173848,1,2014-03-21 00:00:00,de,BMZ,DE-1,Government,"Fortbildung zur Genderorientierung und Empowerment von jungen Menschen zur nachhaltigen Friedensförderung in Nepal, Fortführung",,2,,,2011-12-02,,,,,DE,DE,Government,,,,,,,NP,Nepal,,,,,,,,,3,,,,,EUR,!Mixed currency,265000.00,!Mixed currency,0,0,0,0,0
GGProj:1268,,2014-04-02 00:00:00,en,GlobalGiving,US-EIN-300108263,International NGO,"A Clean Solar Alternative to Kerosene Lamps, Nepal",This project aims to replace kerosene lamps with solar-based household lighting (known as Solar Tuki) through an integrated approach of community mobilization and technological intervention.,2,2006-01-02,,,,,,,GlobalGiving,US-EIN-300108263,International NGO,,,,Environmental Camps for Conservation Awareness,GGOrg:518,,NP,Nepal,,,,,,,,,1,,30,C01,,USD,,0,11882,0,0,0,0,0
US-USG-MCC-18-NP-294304-294304,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,Not Applicable,,2,,,2013-06-01,2013-07-30,,,,,,,Millennium Challenge Corporation,US-18,Government,,,,NP,Nepal,,,,,,,,,,110,,,,USD,USD,13960,13960,0,0,0,0,0
US-USG-AID-1-NP-102425,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,Mod to Grant for NGO National Society for Earthquake Technology (NSET) to add incremental funding for Natural and Technological Risks sector in Nepal.,Mod to Grant for NGO National Society for Earthquake Technology (NSET) to add incremental funding for Natural and Technological Risks sector in Nepal.,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,0,51211,0,0,0,0,0
FI-3-2008-102-66011101,1,2011-08-17 00:00:00,en,"Ministry of Foreign Affairs, Finland",FI-3,Government,NGO Support / Reducing poverty in Nepal_ through innovative and equitable carbon fin,Aim: To establish functional and equitable carbon financing programme in place based on avoided deforestation and forest degradation; engance knowlwdge and scientific basis on forest carbon; strengthen the capacity of the government and local communities on REDD mechanisms. Activities: Research_ forest and carbon inventories; establish database on carbon stock; awareness raising and training.,2,2008-11-14,2010-12-31,,,,,,Finland,FI,Government,Ministry of Foreign Affairs,FI-3,Government,NATIONAL NGOs,22000,,NP,Nepal,,,,,41010,Environmental policy and administrative management,,OECD Development Assistance Committee,1,110,10,,5,USD,,1363990,460800,0,0,0,0,0
US-USG-AID-1-NP-13972,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,n/a,n/a,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,496,272,0,0,0,0,0
GB-1-114394-114,2,2014-03-30 00:00:00,en,Department for International Development,GB-1,Government,India International Conference of Mountain Countries on Climate Change (FA Grant),,2,2012-04-25,2013-03-31,2012-04-25,2013-03-31,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,Network,32000,,NP,Nepal,,,,,41010,Environmental policy and administrative management,,OECD Development Assistance Committee,,110,10,C01,5,GBP,!Mixed currency,14446,14446,0,0,0,0,0
