title,source,csv file,git hub csv file,pdf link,pdf name,year
CRS aid data - 2011,,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/crs-nepal-2011.csv&nid=1617,https://github.com/opennepal/odp-foreign-aid/tree/master/CRS aid data - 2011/data.csv,,,2011
CRS aid data - 2012,OECD CRS,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/crs-nepal-2012.csv&nid=1616,https://github.com/opennepal/odp-foreign-aid/tree/master/CRS aid data - 2012/data.csv,,,2012
IATI aid data as of Apr 17 2014,IATI Registry,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/iati-as-of-2014.04.17.csv&nid=1613,"https://github.com/opennepal/odp-foreign-aid/tree/master/IATI aid data as of Apr 17, 2014/data.csv",,,
Foreign aid data for Nepal as of 14th January 2014 from IATI Registry,IATI Registry,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/IATI data for Nepal as of 14 January 2014.csv&nid=1327,https://github.com/opennepal/odp-foreign-aid/tree/master/Foreign aid data for Nepal as of 14th January 2014 from IATI Registry/data.csv,,,
Foreign Aid Data for Nepal as of 18th January 2013 from IATI Registry,IATI Registry,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Aid_file_for_Nepal_0.csv&nid=64,https://github.com/opennepal/odp-foreign-aid/tree/master/Foreign Aid Data for Nepal as of 18th January 2013 from IATI Registry/data.csv,,,
Per Capita Disbursement per District as per AMP data for 2012-13,Ministry of Finance,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/AMP-per-capita-disbursement-2012-13.csv&nid=1624,https://github.com/opennepal/odp-foreign-aid/tree/master/Per Capita Disbursement per District as per AMP data for 2012-13/data.csv,,,
Per Capita Disbursement per District as per AMP data for 2011-12,Ministry of Finance,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/AMP-per-capita-disbursement-2011-12.csv&nid=1623,https://github.com/opennepal/odp-foreign-aid/tree/master/Per Capita Disbursement per District as per AMP data for 2011-12/data.csv,,,
AMP Data with location for mapping,Ministry of Finance,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/ampdata-location.csv&nid=1622,https://github.com/opennepal/odp-foreign-aid/tree/master/AMP Data with location for mapping/data.csv,,,
"CRS aid data as of Apr 17, 2014",OECD CRS,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/OECD-2014.04.14%28fromAiddata.org%29.csv&nid=1615,"https://github.com/opennepal/odp-foreign-aid/tree/master/CRS aid data as of Apr 17, 2014/data.csv",,,
AMP aid data as of Apr 17 2014,Ministry of Finance,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/AMP-data-906-projects.csv&nid=1328,https://github.com/opennepal/odp-foreign-aid/tree/master/AMP aid data as of Apr 17 2014/data.csv,,,
